2023-12-08 12:45:11,415:INFO: Epoch: 0 | iter: 100 | avg. train loss: 2.036095754053775 | time elapsed: 99.18853187561035
2023-12-08 12:46:50,649:INFO: Epoch: 0 | iter: 200 | avg. train loss: 0.585361262306986 | time elapsed: 198.42222380638123
2023-12-08 12:48:29,789:INFO: Epoch: 0 | iter: 300 | avg. train loss: 0.7067042760272788 | time elapsed: 297.5621120929718
2023-12-08 12:50:09,228:INFO: Epoch: 0 | iter: 400 | avg. train loss: 0.10514164955470268 | time elapsed: 397.0012950897217
2023-12-08 12:51:48,577:INFO: Epoch: 0 | iter: 500 | avg. train loss: 0.01019104225593427 | time elapsed: 496.35012102127075
2023-12-08 12:53:27,352:INFO: Epoch: 0 | iter: 600 | avg. train loss: 0.0027401756721058892 | time elapsed: 595.1249310970306
2023-12-08 12:55:06,665:INFO: Epoch: 0 | iter: 700 | avg. train loss: 8.417947111300105e-05 | time elapsed: 694.4376640319824
2023-12-08 12:56:45,849:INFO: Epoch: 0 | iter: 800 | avg. train loss: 0.000975535496918896 | time elapsed: 793.6218230724335
2023-12-08 12:58:25,253:INFO: Epoch: 0 | iter: 900 | avg. train loss: 0.0005678578034250316 | time elapsed: 893.0266020298004
2023-12-08 13:00:05,058:INFO: Epoch: 0 | iter: 1000 | avg. train loss: 1.446366089081175 | time elapsed: 992.830671787262
2023-12-08 13:01:43,864:INFO: Epoch: 0 | iter: 1100 | avg. train loss: 0.058246727898876506 | time elapsed: 1091.6370251178741
2023-12-08 13:03:23,867:INFO: Epoch: 0 | iter: 1200 | avg. train loss: 6.987168569252194e-05 | time elapsed: 1191.6401269435883
2023-12-08 13:05:03,550:INFO: Epoch: 0 | iter: 1300 | avg. train loss: 7.29310482575924e-05 | time elapsed: 1291.3233420848846
2023-12-08 13:06:43,692:INFO: Epoch: 0 | iter: 1400 | avg. train loss: 3.132206177587228e-05 | time elapsed: 1391.4646739959717
2023-12-08 13:08:23,624:INFO: Epoch: 0 | iter: 1500 | avg. train loss: 5.251251093604517e-06 | time elapsed: 1491.3968510627747
2023-12-08 13:10:03,235:INFO: Epoch: 0 | iter: 1600 | avg. train loss: 0.00024096521494997678 | time elapsed: 1591.0077669620514
2023-12-08 13:11:43,543:INFO: Epoch: 0 | iter: 1700 | avg. train loss: 0.008408472102577266 | time elapsed: 1691.3162100315094
2023-12-08 13:13:22,758:INFO: Epoch: 0 | iter: 1800 | avg. train loss: 6.106970784505206e-05 | time elapsed: 1790.5313470363617
2023-12-08 13:15:02,047:INFO: Epoch: 0 | iter: 1900 | avg. train loss: 0.23549940778749753 | time elapsed: 1889.820235967636
2023-12-08 13:16:41,683:INFO: Epoch: 0 | iter: 2000 | avg. train loss: 0.00017934851558088017 | time elapsed: 1989.4558780193329
2023-12-08 13:18:21,252:INFO: Epoch: 0 | iter: 2100 | avg. train loss: 0.00036850794222087246 | time elapsed: 2089.0251178741455
2023-12-08 13:20:00,171:INFO: Epoch: 0 | iter: 2200 | avg. train loss: 2.4103511219820433e-05 | time elapsed: 2187.944269180298
2023-12-08 13:21:39,597:INFO: Epoch: 0 | iter: 2300 | avg. train loss: 7.392238936148977e-05 | time elapsed: 2287.3700568675995
2023-12-08 13:23:18,340:INFO: Epoch: 0 | iter: 2400 | avg. train loss: 0.3173997836829448 | time elapsed: 2386.1127030849457
2023-12-08 13:24:57,239:INFO: Epoch: 0 | iter: 2500 | avg. train loss: 0.000504513674729977 | time elapsed: 2485.0124950408936
2023-12-08 13:26:36,698:INFO: Epoch: 0 | iter: 2600 | avg. train loss: 0.00019667243272396308 | time elapsed: 2584.470957994461
2023-12-08 13:28:16,151:INFO: Epoch: 0 | iter: 2700 | avg. train loss: 0.00040487591335330224 | time elapsed: 2683.923618078232
2023-12-08 13:29:55,806:INFO: Epoch: 0 | iter: 2800 | avg. train loss: 0.0011994986364236562 | time elapsed: 2783.5794999599457
2023-12-08 13:31:35,566:INFO: Epoch: 0 | iter: 2900 | avg. train loss: 9.231078698910075e-05 | time elapsed: 2883.338905096054
2023-12-08 13:33:14,458:INFO: Epoch: 0 | iter: 3000 | avg. train loss: 0.00015988344749483013 | time elapsed: 2982.230844974518
2023-12-08 13:34:53,330:INFO: Epoch: 0 | iter: 3100 | avg. train loss: 1.959414717678693e-05 | time elapsed: 3081.103417158127
2023-12-08 13:36:32,712:INFO: Epoch: 0 | iter: 3200 | avg. train loss: 1.990362380657184e-05 | time elapsed: 3180.484986782074
2023-12-08 13:38:12,089:INFO: Epoch: 0 | iter: 3300 | avg. train loss: 7.202338835784802e-05 | time elapsed: 3279.8618428707123
2023-12-08 13:39:51,960:INFO: Epoch: 0 | iter: 3400 | avg. train loss: 1.2028472349018509 | time elapsed: 3379.733216047287
2023-12-08 13:41:31,783:INFO: Epoch: 0 | iter: 3500 | avg. train loss: 0.0021918868874492552 | time elapsed: 3479.5566120147705
2023-12-08 13:43:10,946:INFO: Epoch: 0 | iter: 3600 | avg. train loss: 1.4503389092475924e-05 | time elapsed: 3578.71892619133
2023-12-08 13:44:36,602:INFO: Epoch: 0 | iter: 3700 | avg. train loss: 0.0002566973598604594 | time elapsed: 3664.3749570846558
2023-12-08 13:45:59,358:INFO: Epoch: 0 | iter: 3800 | avg. train loss: 5.614004448501439e-06 | time elapsed: 3747.1306371688843
2023-12-08 13:47:23,982:INFO: Epoch: 0 | iter: 3900 | avg. train loss: 7.749430781422915e-06 | time elapsed: 3831.755028963089
